person,job,position
"Mauricio Adade","President, Latin America and Global Malnutrition Partnerships, Royal DSM, Brazil","Level 2Senior Executive"
"Sagar Adani","Executive Director, Adani Green Energy, India","Level 2Senior Executive"
"Priti Adani","Chairperson, Adani Foundation, India","Level 2Senior Executive"
"Anil Aggarwal","Co-Founder, Indus Group, United Kingdom","Level 2Senior Executive"
"Neeraj Agrawal","Group Chief Financial Officer, Crescent Petroleum, United Arab Emirates","Level 2Senior Executive"
"Banmali Agrawala","President, Infrastructure, Defence and Aerospace, Tata Sons, India","Level 2Senior Executive"
"Carolyn Ainslie","Chief Financial Officer, Bill & Melinda Gates Foundation, USA","Level 2Senior Executive"
"Laxmi Akkaraju","Chief Strategy Officer, GSMA, United Kingdom","Level 2Senior Executive"
"Waleed Al Mokarrab Al Muhairi","Deputy Group Chief Executive Officer",""
"Ziad Al Murshed","Vice-President, International Operations and Downstream Growth and Integration, Saudi Aramco, Saudi Arabia","Level 2Senior Executive"
"Areije Al Shakar","Director and Fund Manager, Al Waha Venture Capital Fund, Bahrain","Level 2Senior Executive"
"Yousef Al Ulyan","Vice-President, Information Technology, Saudi Aramco, Saudi Arabia","Level 2Senior Executive"
"Bader Al-Asaker","Chairman, Misk Initiatives Center, MiSK, Saudi Arabia","Level 2Senior Executive"
"Ahmed Ali Al-Hammadi","Head, Active Investments, Qatar Investment Authority, Qatar","Level 2Senior Executive"
"Alanoud Bint Hamad Al-Thani","Managing Director, Qatar Financial Centre (QFC), Qatar","Level 2Senior Executive"
"Peggy Alford","Senior Vice-President, Core Markets, PayPal, USA","Level 2Senior Executive"
"Asharf Ali","Executive Director, Lulu Group International, United Arab Emirates","Level 2Senior Executive"
"Khalid Alkhudair","Executive Vice-President, Riyad Bank, Saudi Arabia","Level 2Senior Executive"
"Donald Allan Jr.","Executive Vice-President and Chief Financial Officer, Stanley Black & Decker, USA","Level 2Senior Executive"
"Ken Allen","Chief Executive Officer, DHL eCommerce Solutions, Deutsche Post DHL, Germany","Level 2Senior Executive"
"Paulo Almirante","Executive Vice-President and Chief Operating Officer, ENGIE Group, France","Level 2Senior Executive"
"Richard Ambrose","Executive Vice-President, Space Systems, Lockheed Martin Space Systems, USA","Level 2Senior Executive"
"Christine Anderson","Senior Managing Director, Global Public Affairs, Blackstone Group, USA","Level 2Senior Executive"
"Konstantinos Apostolatos","Lead Partner, Strategy, Top-Line Transformation and Boardroom Services, Kearney, USA","Level 2Senior Executive"
"Lindsey Argalas","Chief Digital and Innovation Officer, Banco Santander, Spain","Level 2Senior Executive"
"Kazutomo Aritake","Senior Managing Executive Officer, Suntory Holdings, Japan","Level 2Senior Executive"
"Richard Arnold","Group Managing Director, Manchester United, United Kingdom","Level 2Senior Executive"
"Ivan Arriagada Herrera","Chief Executive Officer, Antofagasta Minerals, Chile","Level 2Senior Executive"
"Dennis Arriola","Executive Vice-President, Group President and Chief Sustainability Officer, Sempra Energy, USA","Level 2Senior Executive"
"Steven Ashley","Senior Managing Director",""
"Jakob Askou Boss","Senior Vice-President, Corporate Strategy and Stakeholder Relations, Ørsted, Denmark","Level 2Senior Executive"
"Samir Assaf","Group Managing Director and Chief Executive, Global Banking and Markets, HSBC Holdings, United Kingdom","Level 2Senior Executive"
"Sami Atiya","President, Robotics and Discrete Automation",""
"Jonathan Auerbach","Executive Vice-President",""
"Stefano Aversa","Global Vice-Chairman and Chairman, Europe, Middle East and Africa, AlixPartners, United Kingdom","Level 2Senior Executive"
"Eric Axford","Executive Vice-President",""
"Domenico Azzarello","Regional Managing Partner, Europe, Middle East and Africa (EMEA), Bain & Company, France","Level 2Senior Executive"
"Oleg Bagrin","Member of the Board",""
"Tim Bailey","President, Global Consumer Brands, S. C. Johnson, USA","Level 2Senior Executive"
"Andrew Baldwin","Global Managing Partner, Client Service, EY, United Kingdom","Level 2Senior Executive"
"Chandrajit Banerjee","Director-General, Confederation of Indian Industry (CII), India","Level 2Senior Executive"
"Pablo Alberto Barrera Lopez","Executive Vice-President, Strategy and Supply Chain, Yara International, Norway","Level 2Senior Executive"
"Muhamad Chatib Basri","Commissioner, Bank Mandiri (Persero), Indonesia","Level 2Senior Executive"
"Christophe Beck","President and Chief Operating Officer, Ecolab, USA","Level 2Senior Executive"
"Kai Beckmann","Chief Executive Officer, Performance Materials",""
"Andrey Belevtsev","Chief Digital Officer, Gazprom Neft, Russian Federation","Level 2Senior Executive"
"László Bencsik","Chief Financial and Strategic Officer, OTP Bank, Hungary","Level 2Senior Executive"
"Holly Benson","President and Chief Executive Officer, Health Care Enterprises, Centene, USA","Level 2Senior Executive"
"Ralph Berg","Executive Vice-President",""
"Andreas Berger","Chief Executive Officer, Corporate Solutions",""
"Kevin Berryman","President and Chief Financial Officer, Jacobs, USA","Level 2Senior Executive"
"Peter Beshar","Executive Vice-President and General Counsel, Marsh & McLennan Companies (MMC), USA","Level 2Senior Executive"
"Rajat Bhargava","Head, Emerging Mobility, Strategy and Global Business, Hero Motocorp, India","Level 2Senior Executive"
"Sudipta Bhattacharya","Chief Executive Officer, North America",""
"Waleed Bin Salman","Executive Vice-President, Business Development and Excellence, Dubai Electricity and Water Authority, United Arab Emirates","Level 2Senior Executive"
"Anand Birje","Corporate Vice-President",""
"Barry Blattman","Vice-Chair, Brookfield Asset Management, Canada","Level 2Senior Executive"
"Richard Bloxam","Chief Executive Officer, Capital Markets, JLL, United Kingdom","Level 2Senior Executive"
"Bertrand Bodson","Chief Digital Officer, Novartis International, Switzerland","Level 2Senior Executive"
"Hans Bohnen","Chief Operating Officer, Member of the Executive Committee, Clariant, Switzerland","Level 2Senior Executive"
"Jeffrey W. Bolton","Chief Administrative Officer and Vice-President, Mayo Clinic, USA","Level 2Senior Executive"
"Django Bonderman","Partner, Mountain Philanthropies, USA","Level 2Senior Executive"
"René Bonvanie","Executive Vice-President, Strategic Accounts, Palo Alto Networks, USA","Level 2Senior Executive"
"Alexandra Brand","Chief Sustainability Officer, Syngenta, Switzerland","Level 2Senior Executive"
"Rachel Brand","Executive Vice-President, Global Governance"," Corporate Secretary, Walmart, USA"
"Harry Brekelmans","Director, Projects and Technology, Royal Dutch Shell, Netherlands","Level 2Senior Executive"
"Stuart Brooks","Special Adviser, Chevron, United Kingdom","Level 2Senior Executive"
"Alexis Brouhns","Senior Executive Vice-President",""
"Oscar Brown","Senior Vice-President, Strategy, Business Development and Integrated Supply, Occidental, USA","Level 2Senior Executive"
"Rich Buckley","Vice-President, Global Corporate Affairs, AstraZeneca, USA","Level 2Senior Executive"
"Andrey Bugrov","Vice-President, Interros, Russian Federation","Level 2Senior Executive"
"Juan Martín Bulgheroni","Vice-President, Pan American Energy, Argentina","Level 2Senior Executive"
"Bas Burger","Chief Executive Officer, Global Services, BT Group, United Kingdom","Level 2Senior Executive"
"Brandy Burkhalter","Executive Vice-President, Operations, Centene, USA","Level 2Senior Executive"
"Mark Burns","President, Gulfstream Aerospace, USA","Level 2Senior Executive"
"Roland Busch","Member of the Managing Board, Deputy Chief Executive Officer, Chief Technology Officer and Chief Human Resources Officer, Siemens, Germany","Level 2Senior Executive"
"Pierre Cailleteau","Managing Director, Lazard, France","Level 2Senior Executive"
"Gilberto Caldart","President, International, Mastercard, USA","Level 2Senior Executive"
"Eric Cantor","Vice-Chairman and Managing Director, Moelis & Company, USA","Level 2Senior Executive"
"Teresa Carlson","Vice-President, Worldwide Public Sector, Amazon Web Services, USA","Level 2Senior Executive"
"Alain Carrier","Senior Managing Director",""
"Karen Carter","Chief Inclusion Officer and Chief Human Resources Officer, Dow Chemical, USA","Level 2Senior Executive"
"Arne Cartridge","Special Adviser, Strategy and Business Development, Yara International, Norway","Level 2Senior Executive"
"Luis Castilla","Chief Executive Officer, Infrastructure, Acciona, Spain","Level 2Senior Executive"
"Christophe Catoir","Regional Head, France and Northern Europe, Adecco Group, France","Level 2Senior Executive"
"Nando Cesarone","President, International, UPS, USA","Level 2Senior Executive"
"Nelson Chai","Chief Financial Officer, Uber Technologies, USA","Level 2Senior Executive"
"Chansak Fuangfu","Executive Director and Senior Executive Vice-President, Bangkok Bank Public Company, Thailand","Level 2Senior Executive"
"Chen Ximin","Senior Vice-President and Chief Operating Officer, Neusoft, People's Republic of China","Level 2Senior Executive"
"Chi Young Cho","President and Chief Innovation Officer, Hyundai Motor, Republic of Korea","Level 2Senior Executive"
"Nanjoo Choi","Vice-President and Chief Strategy Officer, Hanwha Hotels and Resorts, Republic of Korea","Level 2Senior Executive"
"Leda Chong","Senior Vice-President, Government, Gulfstream Aerospace, USA","Level 2Senior Executive"
"Bernadette 'Maya' Chorengel","Co-Managing Partner, The Rise Fund, TPG, USA","Level 2Senior Executive"
"Per Christensen","Chairman of the Board of Directors, PensionDanmark, Denmark","Level 2Senior Executive"
"Yulia Chupina","Senior Vice-President, Sberbank, Russian Federation","Level 2Senior Executive"
"Ernesto Ciorra","Chief Innovability Officer, Enel, Italy","Level 2Senior Executive"
"Megan Clarken","Chief Commercial Officer, Nielsen Global Media, Nielsen, USA","Level 2Senior Executive"
"Marcelo Claure","Chief Executive Officer, SoftBank Group International, USA","Level 2Senior Executive"
"Annette Clayton","Chief Executive Officer and President, North America Operations, Schneider Electric, USA","Level 2Senior Executive"
"Nick Clegg","Vice-President, Global Affairs and Communications, Facebook, USA","Level 2Senior Executive"
"Andrew Cohen","Executive Chairman, J.P. Morgan Global Wealth Management, USA","Level 2Senior Executive"
"Connie Collingsworth","Chief Operating Officer, Bill & Melinda Gates Foundation, USA","Level 2Senior Executive"
"Paul Compton","President, Barclays, United Kingdom","Level 2Senior Executive"
"Al Cook","Executive Vice-President, Global Strategy and Business Development, Equinor, Norway","Level 2Senior Executive"
"Constantin Cotzias","Global Head, Government Affairs",""
"Alain Couttolenc","Chief Development Officer, Ipsos, France","Level 2Senior Executive"
"Tori Cowley","Group Chief Communications Officer, Hong Kong Exchanges and Clearing (HKEX), Hong Kong SAR, China","Level 2Senior Executive"
"Carol Cruickshank","Partner, Americas Leadership, Kearney, Canada","Level 2Senior Executive"
"Brian Dames","Chief Executive Officer, African Rainbow Energy and Power, South Africa","Level 2Senior Executive"
"Edward Dandridge","Global Chief Marketing and Communications Officer, General Insurance, AIG, USA","Level 2Senior Executive"
"Claire Darley","Vice-President, Digital Media, Adobe, United Kingdom","Level 2Senior Executive"
"David Darmon","Group Deputy Chief Executive Officer, Wendel, France","Level 2Senior Executive"
"Gordon Davies","Executive Vice-President"," Head, Corporate Development, OpenText, Canada"
"Shahzada Dawood","Vice-Chairman of the Board, Dawood Hercules, Pakistan","Level 2Senior Executive"
"Laurence Debroux","Member of the Executive Board and Chief Financial Officer, HEINEKEN, Netherlands","Level 2Senior Executive"
"Clotilde Delbos","Chief Executive Officer ad interim, Renault",""
"Agustin Delgado","Chief Innovation and Sustainability Officer, Iberdrola, Spain","Level 2Senior Executive"
"Sylvain Dhenin","Managing Partner",""
"Begum Dogan Faralyali","Chairwoman, Dogan Holding, Turkey","Level 2Senior Executive"
"Leslie Donato","Executive Vice-President and Chief Strategy Officer, AmeriSourceBergen, USA","Level 2Senior Executive"
"Thomas Donilon","Senior Adviser, BlackRock, USA","Level 2Senior Executive"
"Robert Dorrance","Chairman, Chief Executive Officer and President, TD Securities, TD Bank Group, Canada","Level 2Senior Executive"
"Saurine Mahendra Doshi","Partner and Head, Asia-Pacific, A.T. Kearney, Singapore","Level 2Senior Executive"
"Lynne Doughtie","Chairman and Chief Executive Officer",""
"Kerry Dryburgh","Global Head, Human Resources, BP, United Kingdom","Level 2Senior Executive"
"Rachel Duan","President and Chief Executive Officer, China",""
"Florence Dubois","Chief Brand and Communications Officer, Jumeirah Group, United Arab Emirates","Level 2Senior Executive"
"Morten Dyrholm","Group Senior Vice-President, Public Affairs, Vestas, Denmark","Level 2Senior Executive"
"Makiko Eda","Chief Representative Officer, Japan",""
"Stuart E. Eizenstat","Partner and Head, International Trade and Finance, Covington & Burling, USA","Level 2Senior Executive"
"Erik Ekudden","Chief Technology Officer, Ericsson, Sweden","Level 2Senior Executive"
"Shireen El Khatib","Chief Executive Officer, Shopping Malls, Majid Al Futtaim, United Arab Emirates","Level 2Senior Executive"
"Howard Elias","President, Services and Digital, Dell Technologies, USA","Level 2Senior Executive"
"Gerri Elliott","Executive Vice-President and Chief Sales and Marketing Officer, Cisco, USA","Level 2Senior Executive"
"Steve Ellis","Co-Managing Partner, Rise Fund, TPG, USA","Level 2Senior Executive"
"Kevin Ellis","Chairman and Senior Partner, PwC, United Kingdom","Level 2Senior Executive"
"Marc Engel","Chief Supply Chain Officer, Unilever, United Kingdom","Level 2Senior Executive"
"Robert Etman","Group Chief Financial Officer, Alghanim Industries, Kuwait","Level 2Senior Executive"
"J. Michael Evans","President, Alibaba Group, USA","Level 2Senior Executive"
"Deirdre Evens","Executive Vice-President",""
"Claudio Facchin","President, Power Grids",""
"Karen Fang","Managing Director",""
"Lucy Fato","Executive Vice-President and General Counsel, AIG, USA","Level 2Senior Executive"
"Bridget Fawcett","Global Head, Strategy, Banking, Capital Markets and Advisory, Citi, USA","Level 2Senior Executive"
"Douglas Feagin","President, International Business, Ant Financial, USA","Level 2Senior Executive"
"Chano Fernandez","Co-President, Workday, USA","Level 2Senior Executive"
"Susanne Fiedler","President, Europe and Canada, MSD, Switzerland","Level 2Senior Executive"
"Mary Finch","Executive Vice-President",""
"Thomas Finke","Chairman and Chief Executive Officer, Barings, USA","Level 2Senior Executive"
"Dawn Fitzpatrick","Chief Investment Officer, Soros Fund Management, USA","Level 2Senior Executive"
"Alan Fleischmann","Senior Adviser and Chief Executive Officer, Laurel Strategies, Vista Equity Partners, USA","Level 2Senior Executive"
"James Fok","Head, Group Strategy, Hong Kong Exchanges and Clearing (HKEX), Hong Kong SAR, China","Level 2Senior Executive"
"Mark Foster","Senior Vice-President, Global Business Services, IBM, USA","Level 2Senior Executive"
"Martin Fraenkel","President, S&P Global Platts, United Kingdom","Level 2Senior Executive"
"Michael Frank","President and Chief Executive Officer, Nutrien Ag Solutions",""
"Malcolm Frank","President, Digital Business, Cognizant, USA","Level 2Senior Executive"
"Laurent Freixe","Executive Vice-President and Chief Executive Officer, Americas, Nestlé, Switzerland","Level 2Senior Executive"
"Barry French","Chief Marketing Officer, Nokia, Finland","Level 2Senior Executive"
"Michael Freno","Head, Global Markets, Barings, USA","Level 2Senior Executive"
"Michael Froman","Vice-Chairman and President, Strategic Growth, Mastercard, USA","Level 2Senior Executive"
"Tomomi Fukumoto","Executive Officer",""
"Hidenori Furuta","Senior Executive Vice-President, Chief Technology Officer, Chief Information Officer, Representative Director and Corporate Executive Officer, Fujitsu, Japan","Level 2Senior Executive"
"Chantal Gaemperle","Group Executive Vice-President, Human Resources and Synergies, LVMH Moët Hennessy - Louis Vuitton, France","Level 2Senior Executive"
"Charles Gai Longjia","Senior Vice-President and Chief Marketing Officer, Neusoft, People's Republic of China","Level 2Senior Executive"
"Natarajan Ganapathy Subramaniam","Chief Operating Officer, Tata Consultancy Services, India","Level 2Senior Executive"
"Belén Garijo","Chief Executive Officer, Healthcare",""
"Patrick Gaspard","President, Open Society Institute, USA","Level 2Senior Executive"
"Troy Gayeski","Partner and Senior Portfolio Manager, SkyBridge Capital, USA","Level 2Senior Executive"
"Julie Gebauer","Head, Global Business Segment, Human Capital and Benefits, Willis Towers Watson, USA","Level 2Senior Executive"
"Courtney Geduldig","Executive Vice-President, Public Affairs, S&P Global, USA","Level 2Senior Executive"
"Michael Gelchie","Chief Operating Officer, Louis Dreyfus Company, Netherlands","Level 2Senior Executive"
"Julie Louise Gerberding","Executive Vice-President and Chief Patient Officer, Strategic Communications, Global Public Policy and Population Health, MSD, USA","Level 2Senior Executive"
"Henk Jan Gerzee","Chief Digital and Innovation Officer, Royal Schiphol Group, Netherlands","Level 2Senior Executive"
"Anthony Gianotti","Chief Financial Officer, Wesfarmers, Australia","Level 2Senior Executive"
"Roberto Giay","Group General Manager, Unipol Gruppo, Italy","Level 2Senior Executive"
"Hashim Gillani","President, People and Strategy, Alghanim Industries, Kuwait","Level 2Senior Executive"
"Sadiq Gillani","Senior Vice-President, Emirates Group, United Arab Emirates","Level 2Senior Executive"
"Brian Gilvary","Group Chief Financial Officer, BP, United Kingdom","Level 2Senior Executive"
"John Giusti","Chief Regulatory Officer, GSMA, United Kingdom","Level 2Senior Executive"
"Khaya Gobodo","Managing Director: Wealth and Investments, Old Mutual, South Africa","Level 2Senior Executive"
"Pirojsha Godrej","Executive Chairman, Godrej Properties, India","Level 2Senior Executive"
"Nancy Goldberg","Executive Vice-President, Chief Marketing and Sales Officer, Kudelski Group, USA","Level 2Senior Executive"
"Ashley Goldsmith","Chief People Officer, Workday, USA","Level 2Senior Executive"
"John Goodwin","Chief Executive Officer, LEGO Foundation, Denmark","Level 2Senior Executive"
"Pierre-Dimitri Gore-Coty","Vice-President, International Rides, Uber Technologies, USA","Level 2Senior Executive"
"Stephen P. Gottesfeld","Executive Vice-President, Chief Sustainable and External Affairs Officer, Newmont, USA","Level 2Senior Executive"
"Tamur Goudarzi-Pour","Chief Commercial Officer, Swiss International Air Lines, Switzerland","Level 2Senior Executive"
"Ramadevi Gourineni","Managing Director, Amara Raja Infra and Amara Raja Industrial Services",""
"Sucheta Govil","Chief Commercial Officer, Covestro, Germany","Level 2Senior Executive"
"Guru Gowrappan","Chief Executive Officer, Verizon Media, Verizon Communications, USA","Level 2Senior Executive"
"Ashish Goyal","Senior Portfolio Manager, Pharo Management, United Kingdom","Level 2Senior Executive"
"Sari Granat","Executive Vice-President, Chief Administrative Officer and General Counsel, IHS Markit, USA","Level 2Senior Executive"
"Andrew Gray","Managing Director, Group Chief Risk Officer, Depository Trust & Clearing (DTCC), USA","Level 2Senior Executive"
"Nelson Griggs","President, Nasdaq Stock Exchange, Nasdaq, USA","Level 2Senior Executive"
"Vittorio Grilli","Chairman, Italy",""
"Stefan Gross-Selbeck","Global Managing Partner, BCG Digital Ventures, Germany","Level 2Senior Executive"
"Keith Grossman","President, TIME, USA","Level 2Senior Executive"
"Béatrice Guillaume-Grabisch","Head, Group Human Resources and Business Services, Nestlé, Switzerland","Level 2Senior Executive"
"Gregory Guyett","Head, Global Banking, HSBC, United Kingdom","Level 2Senior Executive"
"Carl-Johan Hagman","Chief Executive Officer, Stena, Sweden","Level 2Senior Executive"
"Martha Hall Findlay","Chief Sustainability Officer, Suncor Energy, Canada","Level 2Senior Executive"
"Mohamad Ali Hamade","Chief Investment Officer, VPS Healthcare, United Arab Emirates","Level 2Senior Executive"
"Shaima Hamidaddin","Executive Manager, MiSK, Saudi Arabia","Level 2Senior Executive"
"Jan Hammer","Partner, Index Ventures, Switzerland","Level 2Senior Executive"
"Akira Harashima","Senior Managing Director",""
"Suni Harford","Member of the Group Executive Board",""
"Matthew J. Harrington","Global President, Edelman, USA","Level 2Senior Executive"
"Shigeto Hashiyama","Managing Executive Officer",""
"Marcela Hawn","Senior Vice-President and Chief Communications Officer, Centene, USA","Level 2Senior Executive"
"Tatsuya Hayashi","Partner, Unison Capital, Japan","Level 2Senior Executive"
"Tony Hayward","Chairman, Glencore International, Switzerland","Level 2Senior Executive"
"Patrick Healy","Chief Executive Officer, Hellman & Friedman, USA","Level 2Senior Executive"
"Chris Hearne","Chief Financial Officer, Dana Gas, United Arab Emirates","Level 2Senior Executive"
"Carl Hess","Chief Executive Officer, Investment, Risk and Reinsurance, Willis Towers Watson, USA","Level 2Senior Executive"
"Jenni Hibbert","Global Practice Managing Partner, Financial Services, Heidrick & Struggles, United Kingdom","Level 2Senior Executive"
"Philipp M. Hildebrand","Vice-Chairman, BlackRock, United Kingdom","Level 2Senior Executive"
"Liz Hilton Segel","Managing Partner, North America, McKinsey & Company, USA","Level 2Senior Executive"
"Philip Hoare","President, WS Atkins, United Kingdom","Level 2Senior Executive"
"Cary Hobbs","Executive Vice-President and Chief of Staff, Centene, USA","Level 2Senior Executive"
"Mark Hoffman","Chairman, CNBC, USA","Level 2Senior Executive"
"Charlotte Hogg","Chief Executive Officer, Europe, Visa, United Kingdom","Level 2Senior Executive"
"Richard Hookway","Chief Executive, Centrica Business, Centrica, United Kingdom","Level 2Senior Executive"
"Kentaro Hosomi","Executive Vice-President",""
"Andrew Howard","Senior Vice-President",""
"W. Lee Howell","Managing Director, World Economic Forum","Level 2Senior Executive"
"Jack Howell","Chief Executive Officer, Asia-Pacific, Zurich Insurance Group, Hong Kong SAR, China","Level 2Senior Executive"
"Judy Hsu","Regional Chief Executive Officer, ASEAN and South Asia, Standard Chartered Bank, United Kingdom","Level 2Senior Executive"
"Sjoerd Hubben","Vice-President, Global Government Affairs and Policy, AstraZeneca, Switzerland","Level 2Senior Executive"
"Gwenaelle Huet","Chief Executive Officer, ENGIE North America",""
"Dame Vivian Hunt","Managing Partner, United Kingdom and Ireland, McKinsey & Company, United Kingdom","Level 2Senior Executive"
"Rory Hunter","Chief Executive Officer and Co-Founder, Song Saa Collective, Cambodia","Level 2Senior Executive"
"Paul Hunyor","Partner"," Head, Digital Ventures, Asia, BCG Digital Ventures, Australia"
"Mikhail Iakobachvili","Vice-President, Orion Heritage, Russian Federation","Level 2Senior Executive"
"David Iakobachvili","President, Orion Heritage, Russian Federation","Level 2Senior Executive"
"Alijan Ibragimov","Member of the Board of Directors, Eurasian Resources Group (ERG), Luxembourg","Level 2Senior Executive"
"Seiji Imai","Senior Managing Executive Officer, Mizuho Financial Group, Japan","Level 2Senior Executive"
"Katie Ioanilli","Senior Vice-President, Global Corporate Communications, Ralph Lauren, USA","Level 2Senior Executive"
"Ainojie 'Alex' Irune","Chief Operating Officer, Oando, Nigeria","Level 2Senior Executive"
"Shigeru Ishida","Executive Officer, Dentsu, Japan","Level 2Senior Executive"
"Norihiko Ishiguro","Senior Executive Vice-President",""
"Philippe Isler","Director, Global Alliance for Trade Facilitation",""
"Ahmed Ismail","Chief Executive Officer, Majid Al Futtaim Properties, Majid Al Futtaim, United Arab Emirates","Level 2Senior Executive"
"Yutaka Ito","Executive Vice-President, All Nippon Airways (ANA), Japan","Level 2Senior Executive"
"Eisaku Ito","Senior Vice-President",""
"Bahia Ezzat Jaafar","Deputy Chairman and Deputy Chief Executive Officer, Kuwaiti Danish Dairy (KDD), Kuwait","Level 2Senior Executive"
"Lisa P. Jackson","Vice-President, Apple, USA","Level 2Senior Executive"
"Selina Jackson","Senior Vice-President, Global Government Relations and Public Policy, Procter & Gamble, USA","Level 2Senior Executive"
"Jeffrey Pichet Jaensubhakij","Group Chief Investment Officer, GIC, Singapore","Level 2Senior Executive"
"Anurag Jain","Managing Partner, Perot Jain, USA","Level 2Senior Executive"
"Fady Jameel","Deputy President and Vice-Chairman, Abdul Latif Jameel, United Arab Emirates","Level 2Senior Executive"
"Rodger Jardine","Chairman, FirstRand, South Africa","Level 2Senior Executive"
"Pedro Jatobá","Chief Generation Officer, Eletrobras, Brazil","Level 2Senior Executive"
"Huw Jenkins","Vice-Chairman and Member of the Board of Directors, Banco BTG Pactual, United Kingdom","Level 2Senior Executive"
"Eric Jing","Chairman and Chief Executive Officer, Ant Financial Services Group, People's Republic of China","Level 2Senior Executive"
"Peggy Johnson","Executive Vice-President, Business Development, Microsoft, USA","Level 2Senior Executive"
"Chris Johnson","Executive Vice-President",""
"Mcebisi Jonas","Chairperson, MTN Group, South Africa","Level 2Senior Executive"
"Paul Tudor Jones II","Chairman, JUST Capital, USA","Level 2Senior Executive"
"Lars Fruergaard Jorgensen","President and Chief Executive Officer, Novo Nordisk, Denmark","Level 2Senior Executive"
"Jan Kadanik","Chief Financial Officer",""
"Rashad-Rudolf Kaldany","Partner",""
"Tony Kalm","Chief Executive Officer and Co-Founder, the LINK Fund, Switzerland","Level 2Senior Executive"
"Melanie Kalmar","Corporate Vice-President, Chief Information Officer and Chief Digital Officer, Dow, USA","Level 2Senior Executive"
"Amit Kalyani","Deputy Managing Director, Bharat Forge, India","Level 2Senior Executive"
"Hironori Kamezawa","Member of the Board of Directors",""
"Robert Kapito","President, BlackRock, USA","Level 2Senior Executive"
"Aaron Karczmer","Chief Risk Officer",""
"Neema Kaseje","Surgeon, Médecins Sans Frontières, Switzerland","Level 2Senior Executive"
"Anurag Kashyap","Vice-President, Corporate Affairs, NMC Healthcare, United Arab Emirates","Level 2Senior Executive"
"Francine Katsoudas","Executive Vice-President and Chief People Officer, Cisco, USA","Level 2Senior Executive"
"Brian Kaufmann","Portfolio Manager",""
"Sunil Kaushal","Regional Chief Executive, Africa and Middle East, Standard Chartered Bank, United Arab Emirates","Level 2Senior Executive"
"Kevin Kawasaki","Executive Vice-President, Business Development, Palantir Technologies, USA","Level 2Senior Executive"
"Adnan Kazim","Chief Commercial Officer, Emirates Airline, United Arab Emirates","Level 2Senior Executive"
"Sabine Keller-Busse","Group Chief Operating Officer",""
"Suzan Kereere","Global Head, Merchant Sales and Acquiring, Visa, USA","Level 2Senior Executive"
"Armen Khachatrian","Deputy Director, Roscongress Foundation, Russian Federation","Level 2Senior Executive"
"Dong-Kwan Kim","Chief Commercial Officer and Executive Vice-President, Hanwha QCELLS & Advanced Materials, Republic of Korea","Level 2Senior Executive"
"Dong-Won Kim","Chief Digital Strategy Officer",""
"Julie Kim","President, Plasma-Derived Therapies Business Unit, Takeda Pharmaceutical, Japan","Level 2Senior Executive"
"Yong Hyun Kim","Chief Executive Officer, Hanwha Asset Management, Republic of Korea","Level 2Senior Executive"
"Kim Jun","Chief Executive Officer, SK Innovation, Republic of Korea","Level 2Senior Executive"
"Steve King","Global Chief Operating Officer, Publicis Groupe, United Kingdom","Level 2Senior Executive"
"Annette King","Chief Executive Officer, United Kingdom, Publicis Groupe, United Kingdom","Level 2Senior Executive"
"Ros King","Executive Vice-President, Global Client, Publicis Groupe, United Kingdom","Level 2Senior Executive"
"Krishna Kishore Maheshwari","Vice-Chairman, UltraTech Cement Ltd, India","Level 2Senior Executive"
"Julie Kitcher","Executive Vice-President, Communications and Corporate Affairs, Airbus, France","Level 2Senior Executive"
"Shannon Klinger","Group General Counsel, Novartis International, Switzerland","Level 2Senior Executive"
"Christoph Koenen","Executive Vice-President, Otsuka Pharmaceutical Development & Commercialization, USA","Level 2Senior Executive"
"Rajan Kohli","President, Wipro Digital, Wipro, India","Level 2Senior Executive"
"Steve Koltes","Co-Founder and Co-Chairman, CVC Capital Partners, United Kingdom","Level 2Senior Executive"
"Sergey Komyshan","Executive Director and Member of the Management Board, Basic Polymers, Capital Projects, Sales and Marketing, Sibur, Russian Federation","Level 2Senior Executive"
"Meredith Kopit Levien","Executive Vice-President and Chief Operating Officer, New York Times, USA","Level 2Senior Executive"
"Alexey Kozlov","Managing Director and Member of the Management Board, Sibur, Russian Federation","Level 2Senior Executive"
"Kelly Kramer","Executive Vice-President and Chief Financial Officer, Cisco, USA","Level 2Senior Executive"
"Melanie Kreis","Chief Financial Officer, Deutsche Post DHL, Germany","Level 2Senior Executive"
"Ramya Krishnaswamy","Head of Institutional Communities",""
"Carla Kriwet","Chief Executive Officer, Connected Care, Royal Philips, USA","Level 2Senior Executive"
"Juan Luis Kruger Sayán","Chief Executive Officer, Minsur, Peru","Level 2Senior Executive"
"Tomasz Kubiak","Vice-President of the Management Board, Bank Pekao, Poland","Level 2Senior Executive"
"Alexander Kudlich","Member of the Executive Board, Rocket Internet, Germany","Level 2Senior Executive"
"B Kalyan Kumar","Corporate Vice-President and Chief Technology Officer, HCL Technologies, United Kingdom","Level 2Senior Executive"
"Seema Kumar","Vice-President, Innovation, Global Health and Science Policy Communication, Johnson & Johnson, USA","Level 2Senior Executive"
"Ravi Kumar S.","President, Infosys, USA","Level 2Senior Executive"
"Thomas Kurian","Chief Executive Officer, Google Cloud, Google, USA","Level 2Senior Executive"
