name,meta
"Alejandro Malgor","Co-Founder and Chief Executive Officer, Xinca, Argentina"
"Christian Mandl","Founder, Govio, Slovakia"
"M. Arsjad Rasjid P. Mangkuningrat","President Director, Indika Energy, Indonesia"
"Aaron Maniam","Deputy Secretary for Industry and Information, Ministry of Communications and Information (MCI) of Singapore, Singapore"
"Nadia Maqbool","Founding Partner, 23 Degrees North, Oman"
"Gabriel Marcolongo","Founder and Chief Executive Officer, Incluyeme.com, Argentina"
"Sanna Marin","Prime Minister of Finland, Office of the Prime Minister of Finland, Finland"
"Anna Marrs","President, Global Commercial Services, American Express Company, United Kingdom"
"Kevin J. Martin","Vice-President, Mobile and Global Access Policy, Facebook, USA"
"Richard Martinez","Vice President for Countries, Inter-American Development Bank, USA"
"Leland Maschmeyer","Co-Founder, Sway, USA"
"Carlota Mateos","Founder, Rusticae, Spain"
"Shaffi Mather","Founder and Chief Executive Officer, MUrgency, United Arab Emirates"
"Nami Matsuko","Engagement Head, Sustainability, OMRON, Japan"
"Shoukei Matsumoto","Buddhist Monk, Future Buddhism Lab, Japan"
"Yasukane Matsumoto","Chief Executive Officer and Founder, Raksul Co., Ltd, Japan"
"Misa Matsuzaki","Chief Executive Officer, PeopleWorldwide Co. Ltd, Japan"
"Nadeen Matthews","Chief Digital and Marketing Officer, National Commercial Bank Jamaica Limited, Jamaica"
"Luiza Mattos","Partner; Head of Healthcare South America, Bain & Company, Brazil"
"Jessica Mauboy","Artist, Maven Agency, Australia"
"Barbara Maul (Mulvee)","Managing Director, Credit Suisse AG, USA"
"Billy Mawasha","Chief Executive Officer, Kolobe Nala Investment Company, South Africa"
"Marissa Mayer","Co-Founder, Lumi Labs, USA"
"Lindiwe Mazibuko","Co-Founder and Executive Director, Apolitical Foundation, South Africa"
"Rhea Mazumdar Singhal","Chief Executive Officer, Ecoware Solutions Private Limited, India"
"M. Yasmina McCarty","Chief Executive Officer, New Growth Innovation Network, USA"
"Francesca McDonagh","Chief Executive Officer, Bank of Ireland Group, Ireland"
"Lucy McRae","Science Fiction Artist, Body Architect, Film Maker, Lucy McRae, Australia"
"Patrick McWhinney","Chief Executive Officer, Insight Partners, Switzerland"
"Sonia Medina","Executive Director, Climate Change, Children's Investment Fund Foundation (CIFF), United Kingdom"
"Nadeem Meghji","Senior Managing Director, Blackstone Group, USA"
"Amit Mehra","Managing Director, Growth, Strategy, Innovation, Accenture, United Kingdom"
"Swapan Mehra","Chief Executive Officer, Iora Ecological Solutions Pvt. Ltd., India"
"Gaurav Mehta","Founder and Chief Executive Officer, Dharma Life, India"
"Souad Mekhennet","Staff Reporter, The Washington Post, USA"
"Maickel Melamed","Chief Executive Officer, DAR Consulting, Venezuela"
"Lorenzo A. Mendoza","Chief Executive Officer, Empresas Polar, Venezuela"
"Patricia Menendez Cambo","Deputy General Counsel, SoftBank Group International, USA"
"Nikhil Meswani","Executive Director, Reliance Industries, India"
"H.R.H. Crown Princess Mette-Marit of Norway","Crown Princess of Norway, The Royal Court, Norway"
"Wenjuan Mi","Founder and Chief Executive Officer, VIPKID, People's Republic of China"
"Erwann Michel-Kerjan","Partner, McKinsey & Company, USA"
"Denis B. Minev","Chief Executive Officer, Bemol e Fogas, Brazil"
"Rebeca Minguela","Founder and Chief Executive Officer, Clarity, USA"
"Haruo Miyagi","President, ETIC (Entrepreneurial Training for Innovative Communities), Japan"
"Kapil Mohabir","Founding Managing Partner, Plympton Farms, Guyana"
"Mohamed Faizal Mohamed Abdul Kadir","Deputy Chief Prosecutor, Attorney-General's Chambers, Singapore"
"Hamdullah Mohib","National Security Adviser, Afghanistan Government, Afghanistan"
"Carlos Moncayo","Co-Founder and Chief Executive Officer, Inspectorio Belarus, USA"
"Pedro Moneo Lain","Founder and Chief Executive Officer, Entrepreneur Capital S.L., Spain"
"Andy Moon","Entrepreneur, USA"
"Alisha Moopen","Deputy Managing Director, Aster DM Healthcare, United Arab Emirates"
"Jesse Moore","Chief Executive Officer and Co-Founder, M-KOPA Solar, Kenya"
"Mike Moradi","Founder and Chief Executive Officer, Sensulin, USA"
"Stephan Morais","Managing General Partner, Indico Capital Partners, Portugal"
"Angela Morelli","Co-Founder, InfoDesignLab, Norway"
"Jamie Morin","Executive Director, Center for Space Policy and Strategy, The Aerospace Corporation, USA"
"Denis Morozov","President, Russia & CIS, Bank of America Merrill Lynch, Russian Federation"
"Nate Morris","Co-Founder and Chief Executive Officer, Rubicon, USA"
"Mashrafe Bin Mortaza","Captain, Bangladesh Cricket Team, Bangladesh"
"Gemma Mortensen","Co-Founder and Member of the Board, More In Common, United Kingdom"
"Karabo Morule","Founder and Chief Executive Officer, Amara Strategic Investments (Pty) Ltd, South Africa"
"Henry Motte-Muñoz","Founder & Executive Chairman, Edukasyon.ph, Philippines"
"Zhivko Mukaetov","Chief Executive Officer and President, Management Board, Alkaloid, Republic of North Macedonia"
"Sucharita Mukherjee","Co-Founder and Chief Executive Officer, Kaleidofin, India"
"Carolina Müller-Möhl","President, Müller-Möhl Group, Switzerland"
"Kala Mulqueeny","Senior Adviser, Ocean Geographic, Australia"
"Christian Mumenthaler","Group Chief Executive Officer, Swiss Re, Switzerland"
"David Munro","CEO, Liberty Holdings Ltd, South Africa"
"Kaila Murnain","General Secretary, New South Wales Branch, Australian Labor Party, Australia"
"Monica Katebe Musonda","Founder and Chief Executive Officer, Java Foods Limited, Zambia"
"Demet Mutlu","Founder and Chief Executive Officer, Trendyol.com, Turkey"
"Kanini Mutooni","Managing Director, Europe, Middle East and Africa, Toniic, United Kingdom"
"Vinati Mutreja","Managing Director and Chief Executive Officer, Vinati Organics Limited, India"
"James Mwangi","Executive Director, Dalberg Advisors, Kenya"
"Griffin R. Myers","Co-Founder and Chief Medical Officer, Oak Street Health, USA"
"Andrej Nabergoj","President, NiceHash, Slovenia"
"Jaime Nack","President and Founder, Three Squares Inc., USA"
"Roshni Nadar Malhotra","Chairperson, HCL, India"
"Ahmad Nader Nadery","Senior Adviser to the President, Office of the President of Afghanistan, Afghanistan"
"Yoshinobu Nagamine","Senior Manager, Gavi, the Vaccine Alliance, Switzerland"
"Subha Nagarajan","Managing Director, Global Capital Advisory, GE Energy Financial Services, USA"
"Akshay Naheta","Senior Vice-President, SoftBank  Group, United Kingdom"
"Euvin Naidoo","Senior Lecturer, Accounting and Management, Harvard Business School, USA"
"Kumi Naidoo","Digital Member"
Conversion Error
"Nerissa Naidu","CEO, āxil, USA"
"Ashwin Naik","Resident Fellow, Ashoka Innovators for the Public, India"
"Sandeep A. Naik","Managing Director, General Atlantic, India"
"Erika Najarian","Managing Director; Head, US Banks Equity Research, Global Research Division, Bank of America, USA"
"Akiko Naka","CEO, Wantedly Inc, Japan"
Conversion Error
"Emi Nakamura","Chancellor‘s Professor of Economics, University of California, Berkeley, USA"
"Toshihiro Nakamura","Guest Professor, Indonesia"
"Raju Narisetti","Director, Global Publishing, McKinsey & Company, USA"
"Alsharif Nasser bin Nasser","Managing Director, Middle East Scientific Institute for Security, Jordan"
"Jonathan Nathusius","Chief Executive Officer, CEMACO, Guatemala"
"Henrik Naujoks","Director and Partner, Bain & Company Inc., Hong Kong SAR, China"
"Mary Nazzal-Batayneh","Founder and Chief Executive Officer, 17 Ventures, Jordan"
"Lukas Nelson","Band Leader, Promise of The Real, USA"
"Orzala A. Nemat","Director, Afghanistan Research & Evaluation Unit (AREU), Afghanistan"
"Nicky Newton-King","Digital Member"
"Rain Newton-Smith","Chief Economist, Confederation of British Industry (CBI), United Kingdom"
"Lena Ng","Chairperson, ASEANMINDS CAPITAL, Singapore"
"Sarah Nicholls","Senior Director and Head, Global Sustainability, Jones Lang LaSalle Limited, Netherlands"
"Oliver Niedermaier","Chairman and Chief Executive Officer, TAU, USA"
"Yetnebersh Nigussie Molla","President and Co-Founder, Ethiopian Lawyers with Disabilities Association, Ethiopia"
"Boris Nikolic","Managing Director, Biomatics Capital, USA"
"Tomomi Nishimoto","Artistic Director and Principal Conductor, The IlluminArt Philharmonic Orchestra, Japan"
"Kohei Nishiyama","Founder and Chief Executive Officer, CUUSOO SYSTEM, Japan"
"Wawira Njiru","Founder and Executive Director, Food for Education, Kenya"
"Kojo Oppong Nkrumah","Minister of Information, Ministry of Information and Media Relations of Ghana, Ghana"
"David Novak","Co-President, Clayton, Dubilier & Rice, United Kingdom"
"Julia Novy-Hildesley","Professor of the Practice and Executive Director, Stanford University, USA"
"Maria Soledad Nuñez Mendez","Academic Director, Public Policy Programme, UCOM University, United Kingdom"
"Cherie Nursalim","Vice-Chairman, Giti Group, People's Republic of China"
"Faraja Nyalandu","Founder and Chief Executive Officer, Shule Direct, Tanzania"
"Jasandra Nyker","Chief Executive Officer, Nala Renewables, Switzerland"
"Victor Ochen","Executive Director, African Youth Initiative Network-Uganda, Uganda"
"Genki Oda","Chairman and Chief Executive Officer, Remixpoint, Japan"
"H.R.H. Crown Prince Haakon of Norway","Crown Prince of Norway, The Royal Court, Norway"
"Chinny Ogunro","Chief Executive Officer, WellSpring Health, Nigeria"
"Tero Ojanpera","Chief Executive Officer and Co-Founder, Silo.AI, Finland"
"Akinwale Ojomo","Chief Engagement Officer, Diaspora Innovation Institute, Nigeria"
"Fredros Okumu","Director, Science, Ifakara Health Institute (IHI), Tanzania"
"Jacek Olechowski","Chief Executive Officer, MEDIACAP SA, Poland"
"Eunice Olsen","Founder and Chief Executive Officer, WomenTalkTV Pte Ltd, Singapore"
"Claudia Olsson","Chief Executive Officer and Founder, Stellar Capacity, Sweden"
"Mohammad Salem Omaid","Chief Executive Officer, Azizi Bank, Afghanistan"
"Umra Omar","Founder and Executive Director, Safari Doctors, Kenya"
"Clare O'Neil","Member of Parliament for Hotham, Parliament of Australia, Australia"
"Tolu Oni","Professor, School of Public Health and Family Medicine, University of Cambridge, United Kingdom"
"Adriana Ortiz","President, National Handcraft Institute (IPA), Paraguay"
"Juan Carlos Ortiz","President, US Hispanic, Latin America and Spain; Creative Chairman, Americas, DDB Latina, USA"
"John B. Osborn","Chief Executive Officer, OMD, USA"
"Taro Otsuka","President, Otsuka Warehouse Co. Ltd, Japan"
"Jill Otto","Managing Director and Partner, Merrill Private Wealth Management, USA"
"Olivier Oullier","President, EMOTIV, USA"
"Hindou Oumarou Ibrahim","President, Association for Indigenous Women and Peoples of Chad (AFPAT), Chad"
"Chanthol Oung","Technical Director, The Arbitration Council, Cambodia"
"Alec Oxenford","Co-Founder and President, letgo, USA"
"Sputniko! Ozaki","Associate Professor, Tokyo University of the Arts, Japan"
"Obi Ozor","Founder & Chief Executive Officer, Kobo360, Nigeria"
Conversion Error
"Burcu Ozturk","Chief Financial Officer, MLP Saglık Hizmetleri A.Ş., Turkey"
"Salvador Paiz","President, FunSEPA, Guatemala"
"Amit Paley","Chief Executive Officer and Executive Director, The Trevor Project, USA"
"Armstrong Pame","Administrator, Government of Manipur, India"
"Rajiv Pant","Young Global Leader Alumnus, USA"
"Sarah Parcak","Director, GlobalXplorer, USA"
"Sandeep Parekh","Independent Director, HDFC Bank, India"
"Kirsten Parker","Vice-President, Product and Solutions Strategy, Mind Gym, United Kingdom"
"Belinda Parmar","Chief Executive Officer, The Empathy Business, United Kingdom"
"Eric Parrado","Chief Economist; General Manager, Research Department, Inter-American Development Bank, USA"
"Catherine 'Kitty' Parry","Chief Executive Officer, DeepView, USA"
"Andrea Pasinetti","Entrepreneur-In-Residence, AI Fund, USA"
"Mayur Patel","Chief Commercial Officer, M-KOPA, Kenya"
"Roberto Patiño","Chief Executive Officer, Convive, Venezuela"
"Verena Pausder","Founder and Chief Executive Officer, Pausder Ventures GmbH, Germany"
Conversion Error
"Şafak Pavey","Senior Adviser, United Nations High Commissioner for Refugees (UNHCR), Switzerland"
"Rolph Antoine Payet","Executive Secretary, Secretariat of the Basel, Rotterdam and Stockholm Conventions, Switzerland"
"Rafael Paz","Alumni, Global Shapers Community"
"Yana Peel","Global Head of Arts, Culture and Communications, Chanel, United Kingdom"
"Efrat Peled","Chairman and Chief Executive Officer, Arison Investments, Israel"
"Enrique Peña Nieto","Digital Member, Mexico"
"Josef Penninger","Scientific Director, Institute of Molecular Biotechnology of the Austrian Academy of Sciences, Austria"
"Aaron Pereira","Project Lead, The Wellbeing Project, France"
"Rodrigo Pérez-Alonso","Partner, Koalsulting, Mexico"
"Melanie Perkins","Chief Executive Officer and Co-Founder, Canva Pty Ltd, Australia"
"Ana Gabriela Pessoa","Vice-President, Strategic Partnerships, Pearson, USA"
"Gregoire Pictet","Chief Executive Officer, Pictet North America Advisors SA, Switzerland"
"Juan Carlos Pinzón Bueno","President, ProBogota, Colombia"
"Nick Pisalyaput","President, Corporate Responsibility & Ethics Association for Thai Enterprise (CREATE), Thailand"
"Katarzyna Pisarska","Chairwoman of the Council, The Casimir Pulaski Foundation, Poland"
"Jacques-Philippe Piverger","Co-Founder and Managing Partner, Ozone Ventures, USA"
"Jayne Plunkett","Group Chief Risk Officer, AIA Group Limited - Pan-Asian Life Insurance Company, Hong Kong SAR, China"
"Juan Jose Pocaterra","Co-Founder and Chief Executive Officer, ViKua, Venezuela"
"Marion Poetz","Associate Professor, Copenhagen Business School, Austria"
"Mark Pollock","Explorer and Collaboration Catalyst, Mark Pollock Trust, Ireland"
"Dee Chu Ying Poon","Managing Director, Brands and Distribution, Esquel Group, Hong Kong SAR, China"
"Ioana Popescu","Professor of Decision Sciences, INSEAD, United Kingdom"
"Vikas Pota","Founder, T4, United Kingdom"
"Dina Powell McCormick","Global Head, Sustainability and Inclusive Growth; Global Head, Sovereign Business, Goldman Sachs & Co. LLC, USA"
"Cristina Pozzi","Chief Operating Officer and Head, Content, Treccani Futura, Italy"
"Ameya Prabhu","Managing Director, NAFA Capital, India"
"Tatiana Prazeres","Senior Fellow, University of International Business and Economics, People's Republic of China"
"Shalini Puchalapalli","Category Director, Amazon, India"
"Lewis Pugh","Founder, Lewis Pugh Foundation, South Africa"
"Shweta Punj","Deputy Editor, India Today, India"
"Laetitia Puyfaucher","Founder and Chief Executive Officer, Pelham Media SARL, France"
"Zhuang Qian","Founder & Chief Executive Officer, KnowYourself, People's Republic of China"
"Qiaomei Fu","Professor at the Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, People's Republic of China"
"Fang (Miranda) Qu","Founder, Xiaohongshu, People's Republic of China"
"Maliha M. Quadir","Founding Managing Director, Shohoj Limited, Bangladesh"
"Rapelang Rabana","Founder, Rekindle Learning, South Africa"
"Arif P. Rachmat","Founder and Executive Chairman, PT Triputra Agro Persada, Indonesia"
"Kira Radinsky","Founder & Chief Technology Officer, Diagnostic Robotics, Israel"
"Sriram Raghavan","Managing Director, L Catterton, USA"
"Faisel Rahman","Chief Executive Officer, Fair Finance, United Kingdom"
"Sanjiv Rai","Founder and Chief Solver, Genic AI Solutions P. Ltd., India"
"Allon Raiz","Chief Executive Officer, Raizcorp, South Africa"
"Devesh Raj","Senior Vice-President and Head of Strategy, Comcast Corporation, USA"
"Jonathan Rake","Chief Executive Officer, Asia-Pacific, Swiss Re International SE Singapore Branch, Singapore"
"Rohan Ramakrishnan","Founder and Chief Executive Officer, The ASEAN Post, Malaysia"
"Vivek Ramaswamy","Founder and Chief Executive Officer, Roivant Sciences Inc., USA"
"Nabila Ramdani","Journalist, The Independent, United Kingdom"
"Austin Ramirez","President and Chief Executive Officer, Husco, USA"
"Aashmi Rajya Lakshmi Rana","Managing Director, RANA Global Pvt. Ltd, Nepal"
"Anushka Ratnayake","Founder and Chief Executive Officer, myAgro, Senegal"
"Byju Raveendran","Founder and Chief Executive Officer, BYJU'S, India"
"Hriday Ravindranath","Global Chief Technology and Information Officer, BT Group Plc, India"
"Catherine Raw","CHIEF OPERATING OFFICER, NORTH AMERICA, Barrick Gold Corporation, Canada"
"Nina Rawal","Founder, Emerging Health Ventures, Sweden"
"Kristin Rechberger","Chief Executive Officer, Dynamic Planet, USA"
"Sheila Redzepi","Vice-President for External and Corporate Affairs, World Bank, USA"
"Atika Rehman","United Kingdom Correspondent, Dawn.com, Pakistan"
"Marcel S. Reichart","Senior Global Advisor, Bertelsmann, United Kingdom"
"Stefan Reichenbach","Global Head of Platform Businesses & Commercialisation, Refinitiv, United Kingdom"
"Carol Reiley","Founder and Member of the Board, Drive.ai, USA"
"Carlos Reines","President and Co-Founder, RubiconMD, Spain"
"Magnus Renfrew","Founder and Managing Director, ARTHQ / Group, Hong Kong SAR, China"
"Bjarte Reve","Chief Executive Officer, Nansen Neuroscience Network, Norway"
"John Riady","Chief Executive Officer, PT Lippo Karawaci Tbk, Indonesia"
"Luisa Ribeiro","Chief Executive Officer, Recode, Brazil"
"Paolo Ribotta","CEO Generali Employee Benefits & Generali Global Health, Generali, Italy"
"Anne Richards","Chief Executive Officer, Fidelity International, United Kingdom"
"Alan Ricks","Founding Principal and Chief Design Officer, MASS Design Group, USA"
"Ennis Rimawi","Chairman and Managing Director, Catalyst MENA Clean Energy Fund, Jordan"
"April Rinne","Founder and Principal, April Worldwide, USA"
"Viridiana Rios","Spanish Columnist, New York Times, Mexico"
"Maria Nelly Rivas","Director, Corporate Affairs, Cargill Incorporated, Nicaragua"
"Paul Rivera","Co-Founder and Chief Executive Officer, Kalibrr Technology Ventures, Philippines"
"Albert Rivera Díaz","Spain"
"Kishin RK","Chief Executive Officer, RB Capital Limited, Singapore"
"Kate Roberts","Founder, The Ikigai Company, USA"
"Susannah Rodgers","Technical Adviser, Disability Inclusion, Economic Empowerment, Foreign and Commonwealth Office of the United Kingdom, United Kingdom"
"David Rodin","Founder and Chief Executive Officer, Principia Advisory, Switzerland"
"Alvaro Rodriguez Arregui","Managing Partner, MA2 Asociados, Mexico"
"James Rogers","Founder and Chief Executive Officer, Apeel Sciences, USA"
"Shezad Rokerya","Chairman, The Interlink Group, USA"
"Michele Romanow","Co-founder & President, Clear Finance Technology Inc - Clearbanc, Canada"
"Guillermo Romo","President and Chief Executive Officer, Grupo Mega, Mexico"
"Daan Roosegaarde","Artist and Innovator, Studio Roosegaarde, Netherlands"
"Nico Rosberg","Greentech Entrepreneur and F1 2016 World Champion, Monaco"
"David Rosenberg","Co-Founder and Chief Executive Officer, AeroFarms, USA"
"Carolina Rossini","Co-Founder and Chief Executive Officer, Portulans Institute, USA"
"Linda Rottenberg","Co-Founder and Chief Executive Officer, Endeavor, USA"
"Maya Roy","Chief Executive Officer, YWCA Canada, Canada"
"'Krating' Ruangroj Poonpol","Managing Partner, TrueNorth Venture Co. Ltd, Thailand"
"Nilmini Rubin","Executive Vice-President, Tetra Tech, Inc., USA"
"Veronica Ruiz del Vizo","CEO, Women on the Stage, USA"
"Hanneli Rupert","Director, Michelangelo Foundation, United Kingdom"
"Ivy Huq Russell","Founder and Chief Executive Officer, Maya, Bangladesh"
"Peter Rutland","Managing Partner, CVC Capital Partners, United Kingdom"
"Annika Saarikko","Member of Parliament, Parliament of Finland (Eduskunta), Finland"
"Pardis Sabeti","Professor, Harvard T. H. Chan School of Public Health, USA"
"Daniel Sachs","Chair of the Investment Committee, Soros Fund Management, USA"
"Hayley Saddington","Founder and Chief Executive Officer, Halo Medical Devices, Australia"
"Ewa Sadowska","Secretary-General, International Network for Innovative Social Entrepreneurship, Belgium"
"Umar Saif","Founder and Chief Executive Officer, SurveyAuto, Pakistan"
"Enric Sala","Explorer-in-Residence, National Geographic Society, USA"
"Zainab Salbi","Founder, Women for Women International, USA"
"Asif Saleh","Executive Director, BRAC, Bangladesh"
"Vivek Salgaocar","Director, Vimson Group, Singapore"
"Sandro Salsano","Chairman and President, Salsano Group, Panama"
"Phanindra Sama","Chief Innovation Officer, Government of Telangana, India"
"Bruno Sánchez-Andrade Nuño","Principal Scientist at 'AI for Earth', Microsoft, USA"
"Oyun Sanjaasuren","Director, External Affairs, Green Climate Fund, Republic of Korea"
"Andrea Sanke","Journalist and Senior Presenter, TRT World, Turkey"
"Edward Santow","Commissioner for Human Rights, Australian Human Rights Commission, Australia"
"Lily Sarafan","Co-Founder and Chief Executive Officer, Home Care Assistance, USA"
"Murat Sarayli","Chair, Sarayli AS, Norway"
"Prashant Sarin","Partner, Bain & Company, India"
"Teruhide Sato","Founder and Managing Partner, Beenext  Pte. Ltd., Singapore"
"Arvind Satyam","Chief Commercial Officer, Pano AI, USA"
"Thomas Saueressig","Member of the Executive Board, Product Engineering, SAP, Germany"
"Kush Saxena","Executive Vice President, U.S. Merchants and Acceptance, Mastercard, USA"
"Marietje Schaake","Director, International Policy, Cyber Policy Center, Stanford University, USA"
"Eva Scherer","Chief Financial Officer, Rail Infrastructure, Siemens, Germany"
"Marlène Schiappa",""
"Christopher Schläffer","Executive Chairman and Founder, NYOUM, United Kingdom"
"Leo Schlesinger","Chief Executive Officer, Aliat Universidades, Mexico"
"Raphael Schoentgen","Founder and Chief Executive Officer, Hydrogen Advisors, France"
"Anneliese Schulz","Regional President, Asia-Pacific and Japan, Software AG, Singapore"
"Keith Schwab","Associate Professor of Applied Physics, California Institute of Technology (Caltech), USA"
"Nicole Schwab","Co-Head, Nature-based Solutions; Member of the Executive Committee, World Economic Forum, Switzerland"
"Daniel Schwartz","Chief Executive Officer, Dynamica Inc., USA"
"Klaus Schweinsberg","Chairman and Founder, Center for Strategy and Higher Leadership, Germany"
"Jennifer Zhu Scott","Executive Chairman, The Commons Project, USA"
"Robyn Scott","Co-Founder and Chief Executive Officer, Apolitical, United Kingdom"
"Geoffrey See","Founder, Re:Conneq, Singapore"
"Kabir Sehgal","Founder and Chief Executive Officer, Tiger Turn Productions, USA"
"Zarrar Sehgal","Deputy Chairman, Pathfinder Group, Pakistan"
"Noura Selim","Executive Director, Sawiris Foundation for Social Development, Egypt"
"Shani Senbetta","Founder and Chief Executive Officer, Kidame Mart Plc, Ethiopia"
"Claudia Sender Ramirez","Member of the Board, LafargeHolcim, Poland"
"David Moinina Sengeh","Minister of Basic and Senior Secondary Education, Ministry of Basic and Senior Secondary Education of Sierra Leone, Sierra Leone"
"Hindol Sengupta","Vice-President, Invest India, India"
"Gugu Sepamla","Group Executive - Corporate Affairs & Governance, Barloworld Ltd, South Africa"
"Andrew Serazin","President, Templeton World Charity Foundation, Inc., Bahamas"
"Emily Serazin","Managing Director and Partner, Boston Consulting Group (BCG), USA"
"Serey Chea","Assistant Governor, National Bank of Cambodia, Cambodia"
"Divya Seshamani","Managing Partner, Greensphere Capital Partners LLP, United Kingdom"
"Lara Setrakian","Chief Executive Officer and Executive Editor, News Deeply, Singapore"
"Stav Shaffir","Leader of Israeli Green Party, Israeli Green Party, Israel"
"Bhavin Shah","Senior Advisor, Roland Berger Middle East, United Arab Emirates"
"Premal Shah","Co-Founder and President, Kiva, USA"
"Rajiv Shah","President, Rockefeller Foundation, USA"
"Daniel Shapiro","Founder and Director, Harvard International Negotiation Program, Harvard University, USA"
"Vijay Shekhar Sharma","Chief Executive Officer, Paytm, India"
"Fern Shaw","President, Southern California District, UPS, USA"
"Nicolás Shea","Founder and Executive Chairman, Cumplo Chile S.A., Chile"
"Simon Sheikh","Managing Director, Future Super, Australia"
"Shireen Shelleh","Partner and Managing Director, Center for Engineering and Planning, Palestinian Territories"
"Ameer Sherif","Chief Executive Officer and Co-Founder, Wuzzuf, Egypt"
"Alok Shetty","Principal Architect and Founder, Bhumiputra Architecture, India"
"Igor Shevchenko","Leader, Successful Ukraine Party, Ukraine"
"Yohei Shibasaki","Founder and Chief Executive Officer, Fourth Valley Concierge Corporation, Japan"
"Shruti Shibulal","Chief Executive Officer and Director, Tamara Leisure Experiences, India"
"Kunihiko Shimada","Chief Executive Officer, KS International Strategies, Inc., Japan"
"Daniel M. Shin","Managing Partner, KingsBay Capital, Republic of Korea"
"Sally Shin","Executive Editor, Business, Tech, and Media, NBC News, USA"
"Taejun Shin","Founder, Representative Director and Chief Executive Officer, Gojo & Company Inc., Japan"
"Dina Shoman","Founder & CEO, Nahji, Jordan"
"Izkia Siches","President, Medical College of Chile, Chile"
"Asma Siddiki","Head, Special Projects, Prince Mohammed Bin Salman College of Business and Entrepreneurship, Saudi Arabia"
"Lutfey Siddiqi","Managing Director, CFA Institute, USA"
"Ali Jehangir Siddiqui","Ambassador-at-Large for Foreign Investment, Government of Pakistan, Pakistan"
"Susana Sierra","Partner and Executive Director, BH Compliance, Chile"
"Landry Signé","Senior Fellow, Global Economy and Development Programme and Africa Growth Initiative, Brookings Institution, USA"
"Rohan Silva","Founder and Chief Executive Officer, Second Home, USA"
"António Simões","Regional Head of Europe, Banco Santander, Spain"
"Bright Simons","President, mPedigree, Ghana"
"David Sin","Co-Founder, Group President and Deputy Chairman, Fullerton Health, Singapore"
"Bhavneet Singh","Founder and Chief Executive Officer, Sandbox & Co, United Kingdom"
"Jagmeet Singh","Leader, Canada's New Democrats, New Democratic Party of Canada, Canada"
"Navrina Singh","Founder and Chief Executive Officer, Credo AI, USA"
"Shamina Singh","President, Mastercard Center for Inclusive Growth, Mastercard, USA"
"Anjhula Mya Singh Bais","Director, Amnesty International, United Kingdom"
"Tara Singh Vachani","Chief Executive Officer, Antara Senior Living Pvt. Ltd, India"
"Virginijus Sinkevicius","Commissioner for Environment, Oceans and Fisheries, European Commission, Belgium"
"Jens Martin Skibsted","Partner, Manyone A/S, Denmark"
"David Skilling","Founding Director, Landfall Strategy Group, Netherlands"
"E. Benjamin Skinner","Founder and President, Transparentem, USA"
"Tebogo Skwambane","YGL Alum, N/A, United Kingdom"
"Anthony Smaré","Chairman of the Board, Paradise Foods, Papua New Guinea"
"Simon Smiles","Digital Member, Switzerland"
"Edward Smith","Partner, DLA Piper LLP, USA"
"Elaine Smith Genser","Consultant, United Nations Joint SDG Fund, USA"
"Marie So","Managing Director and Co-Founder, MoveOhm, People's Republic of China"
"Liam Sobey","Vice-President, Merchandising, Sobeys Inc., Canada"
"Zafar Sobhan","Editor, Dhaka Tribune, Bangladesh"
"Richard Socher","Chief Executive Officer, You.com, USA"
"Benjamin Soemartopo","Chief Executive Officer, Eureka, Indonesia"
"Murad Sofizade","Managing Partner, SVTL Ventures, Inc, USA"
"Lorna Solis","Founder and Chief Executive Officer, Blue Rose Compass, USA"
"Marin Soljacic","Professor of Physics, Massachusetts Institute of Technology, USA"
"Ian Solomon","Dean, Batten School of Leadership and Public Policy, USA"
"Otto Sonnenholzner","Digital Member, Ecuador"
"Jens Spahn","Federal Minister of Health, Federal Ministry of Health of Germany, Germany"
"Josh Spear","Founding Partner and Chairman, Undercurrent, USA"
"Devi Sridhar","Professor of Global Public Health, University of Edinburgh, United Kingdom"
"Mirjam Staub-Bisang","CEO, BlackRock Asset Management Switzerland AG, Switzerland"
"Keely Stevenson","Chief Executive Officer, Weal Life, PBC, USA"
"Gunhild Anker Stordalen","Founder and Executive Chair, EAT, Norway"
"Laura Storm","Founder, Regenerators, Denmark"
"Richard Stromback","Founder, Stromback Global Advisors, USA"
"Tristram Stuart","Founder, Toast Ale, United Kingdom"
"Alexander Stubb","Director, School of Transnational Governance, European University Institute, Italy"
"Andrea Stürmer","Chief Executive Officer, Zurich Austria, Zurich Insurance Company Ltd, Austria"
"Federico Sturzenegger","Digital Member, Argentina"
"Ludovic Subran","Chief Economist, Allianz, Germany"
"Anjali Sud","Chief Executive Officer, Vimeo, USA"
"Shokei Suda","Founder and Chief Executive Officer, Enigmo Inc., Japan"
"Fainy Sukenik","Founder and Chairperson, Ba'asher Telchi, Israel"
"Dorjee Sun","Chief Executive Officer, Perlin.net, Singapore"
Conversion Error
"PaweÅ SurÃ³wka","Chief Executive Officer, Pawel Surowka Consulting, Poland"
"Christoph Sutter","Member of the Executive Board, Axpo Power Ltd, Switzerland"
"Sara Sutton","Founder and Chief Executive Officer, FlexJobs, USA"
"Eikei Suzuki","Governor, Mie Prefectural Government, Japan"
"Noor Sweid","General Partner, Global Ventures, United Arab Emirates"
